,Feature,Importance
4,num__conso_clients_RES,0.1444037107449538
12,num__taux_linky,0.059476739036011535
22,num__conso_clients_RES_logement_collectif,0.04211147900626186
2,num__conso_reseau_BT,0.039323457709674076
13,num__temperature,0.03704882364591415
14,num__long_reseau_aerien_bt,0.03558028045394684
21,num__conso_clients_RES_logement_indiv,0.03450919932074136
38,num__conso_reseau_BT_2,0.033879567594221956
15,num__long_reseau_souterrain_bt,0.03377810610747711
16,num__nb_postes_htabt,0.031003577431628786
20,num__prod_totale_jour,0.029926043680491274
35,num__conso_clients_RES_2,0.02868791506697999
18,num__n_days,0.027645166500821387
19,num__conso_totale_jour,0.024887463256260883
39,num__conso_reseau_HTA_2,0.020778275901294867
3,num__conso_reseau_HTA,0.020436963578130657
10,num__prod_filiere_PV,0.01976282478336337
30,num__prod_reseau_BT_2,0.01932963496916221
5,num__conso_clients_PRO,0.01924392246847607
7,num__prod_reseau_BT,0.018837092970603056
36,num__conso_clients_PRO_2,0.018756053132295718
6,num__conso_clients_ENT,0.018304626807764544
33,num__prod_filiere_PV_2,0.01783504036209508
11,num__prod_filiere_autre,0.017587454063945886
34,num__prod_filiere_autre_2,0.017581700893934415
24,num__prod_reseau_HTA_type_2,0.016756959536654407
27,num__puissance_transfos_2,0.016752325965586033
37,num__conso_clients_ENT_2,0.016069308672762506
25,num__prod_reseau_HTA_type_3,0.015865976012514535
17,num__puissance_transfos,0.015194737901763965
28,num__conso_totale_2,0.0136554304598871
42,ordinal_encoding__month,0.013044695882510511
0,num__conso_totale,0.012980330939850468
1,num__prod_totale,0.0118719223256224
29,num__prod_totale_2,0.011809759115214237
8,num__prod_reseau_HTA,0.00828918192258879
31,num__prod_reseau_HTA_2,0.00816678835028701
32,num__prod_filiere_eolien_2,0.006010953787809334
9,num__prod_filiere_eolien,0.005365367583576869
23,num__prod_reseau_HTA_type_1,0.004632454923943389
26,num__prod_reseau_HTA_type_4,0.004416333743510087
43,ordinal_encoding__saison,0.003776847661306929
40,ordinal_encoding__type_territoire,0.00295166833400687
41,ordinal_encoding__year,0.0016738373941538344
